location_code,damage_code,collision_code,road_code,light_code,road_type_code,traffic_code,weather_code,emp_liability_code,kpi_cause_code
RAD,NSR,REVERSING,DRY,NIGHT,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
BSP,MIR,SSW,DRY,DAY,SINGLE,MODERATE,FINE,UN3PAR,ROA
BSP,OSR,N2T,WET,DAY,SINGLE,HEAVY,FINE,UN3PAR,ROA
BSP,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,BUS - OTHER
RAD,NSR,SSW,SLIP,DUSK,MULTI,MODERATE,RAIN,RES,EMP
RAD,FRNT,N2T,DRY,DAY,SINGLE,NO,FINE,RES,CARS TRUCKS
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
RAD,OSR,REVERSING,DRY,DAY,SINGLE,HEAVY,FINE,UN3PAR,CARS TRUCKS
RAD,REAR,TAI,DRY,DAY,SINGLE,MODERATE,FINE,NRES,ROA
RBT,FRNT,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,FRNT,HON,DRY,DAY,MULTI,HEAVY,FINE,RES,CARS TRUCKS
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
RAD,OSF,SSW,DRY,DAY,SINGLE,MODERATE,FINE,NRES,ROA
BSP,MIR,SSW,DRY,DAY,MULTI,HEAVY,FINE,RES,EMP
BSP,WSRE,BTMO,WET,NIGHT,SINGLE,LIGHT,FINE,INCIDENT,EMP
BSP,FRNT,N2T,DRY,DAY,BUS,LIGHT,FINE,RES,CARS TRUCKS
RAD,NSR,SSW,DRY,DAY,MULTI,HEAVY,FINE,RES,EMP
RAD,OSR,N2T,DRY,DAY,SINGLE,LIGHT,FINE,UN3PAR,ROA
RAD,NSR,SSW,DRY,DAY,MULTI,MODERATE,FINE,UN3PAR,CARS TRUCKS
RAD,OSF,SSW,DRY,NIGHT,MULTI,MODERATE,FINE,NRES,ROA
RAD,OSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,NRES,EMP
BSP,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,REAR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,OSM,BTMO,DRY,DAY,SINGLE,NO,FINE,RES,EMP
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
BSP,OSR,N2T,DRY,DAY,SINGLE,LIGHT,FINE,NRES,EMP
RAD,NSF,SSW,DRY,DAY,SINGLE,HEAVY,FINE,NRES,ROA
RAD,NSR,TAI,DRY,DAY,SINGLE,HEAVY,FINE,RES,CARS TRUCKS
BSP,OSF,SSW,WET,DAY,MULTI,LIGHT,RAIN,NRES,CARS TRUCKS
RAD,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,CARS TRUCKS
BSP,MIR,SSW,DRY,DAY,MULTI,LIGHT,FINE,RES,EMP
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,OSM,SSW,DRY,NIGHT,MULTI,LIGHT,FINE,RES,EMP
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,BUS - OTHER
RAD,MIR,SSW,DRY,DAY,MULTI,HEAVY,FINE,NRES,ROA
BSP,NSR,N2T,DRY,DAY,MULTI,LIGHT,FINE,RES,CARS TRUCKS
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,PEND,EMP
RAD,NSR,SSW,DRY,DAY,MULTI,HEAVY,FINE,NRES,EMP
RAD,MIR,SSW,DRY,DAY,MULTI,LIGHT,FINE,RES,CARS TRUCKS
RAD,OSR,N2T,WET,DAY,SINGLE,LIGHT,RAIN,NRES,CARS TRUCKS
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
BSP,NSR,SSW,WET,DAY,SINGLE,LIGHT,RAIN,RES,EMP
RAD,FRNT,HON,WET,STREET,SINGLE,LIGHT,RAIN,RES,ENV
BSP,OSF,BTMO,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,REAR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,INCIDENT,CARS TRUCKS
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,INCIDENT,CARS TRUCKS
RAD,MIR,SSW,DRY,DAY,MULTI,MODERATE,FINE,RES,CARS TRUCKS
RAD,REAR,REVERSING,DRY,DAY,MULTI,MODERATE,FINE,RES,EMP
RAD,NSR,SSW,DRY,DAY,MULTI,HEAVY,FINE,RES,EMP
BSP,REAR,HON,DRY,DAY,MULTI,MODERATE,FINE,NRES,ROA
RAD,WSRE,BTMO,WET,DAY,SINGLE,NO,FINE,RES,EMP
RAD,REAR,BTMO,WET,DAY,SINGLE,NO,RAIN,RES,CARS TRUCKS
RAD,FRNT,HON,WET,DAY,SINGLE,NO,FINE,INCIDENT,EMP
BSP,REAR,N2T,DRY,DAY,MULTI,LIGHT,FINE,NRES,CARS TRUCKS
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,PEND,EMP
RAD,FRNT,SSW,DRY,DAY,SINGLE,LIGHT,FINE,PEND,EMP
BSP,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,UN3PAR,CARS TRUCKS
BSP,NSR,REVERSING,DRY,DAY,SINGLE,LIGHT,FINE,UN3PAR,EMP
XRD,REAR,N2T,DRY,DAY,MULTI,MODERATE,SUN,NRES,EMP
BSP,FRNT,REVERSING,WET,DAWN,BUS,NO,RAIN,NRES,EMP
RAD,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RBT,WSRE,SSW,DRY,DAY,SINGLE,LIGHT,FINE,INCIDENT,ROAD RAGE
RAD,WSRE,BTMO,DRY,DAY,MULTI,MODERATE,FINE,INCIDENT,OTH
BSP,NSF,HON,DRY,DAY,SINGLE,NO,FINE,RES,EMP
RAD,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,PEND,EMP
BSP,NSM,SSW,DRY,NIGHT,SINGLE,LIGHT,FINE,RES,EMP
BSP,REAR,HON,DRY,DAY,SINGLE,MODERATE,FINE,NRES,BUS - OTHER
RAD,NSR,TAI,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,NSM,N2T,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,PEND,EMP
BSP,MIR,SSW,DRY,DAY,MULTI,LIGHT,FINE,RES,EMP
BSP,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,RES,EMP
