location_code,damage_code,collision_code,road_code,light_code,road_type_code,traffic_code,weather_code,emp_liability_code,kpi_cause_code
RBT,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,EMP
BSP,OSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,CARS TRUCKS
BSP,NSM,SSW,DRY,DAY,BUS,LIGHT,FINE,4,EMP
RAD,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,CARS TRUCKS
RAD,NSM,SSW,WET,NIGHT,MULTI,HEAVY,RAIN,1,SURFING
RAD,NSR,SSW,DRY,DAY,SINGLE,HEAVY,FINE,4,CARS TRUCKS
RAD,WSRE,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,EMP
RAD,NSR,REVERSING,DRY,NIGHT,SINGLE,LIGHT,FINE,4,CARS TRUCKS
BSP,MIR,SSW,DRY,DAY,SINGLE,MODERATE,FINE,5,ROA
BSP,OSR,N2T,WET,DAY,SINGLE,HEAVY,FINE,5,ROA
BSP,MIR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,BUS - OTHER
RAD,NSR,SSW,SLIP,DUSK,MULTI,MODERATE,RAIN,4,EMP
RAD,FRNT,N2T,DRY,DAY,SINGLE,NO,FINE,4,CARS TRUCKS
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,CARS TRUCKS
RAD,OSR,REVERSING,DRY,DAY,SINGLE,HEAVY,FINE,5,CARS TRUCKS
RAD,REAR,TAI,DRY,DAY,SINGLE,MODERATE,FINE,1,ROA
RBT,FRNT,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,FRNT,HON,DRY,DAY,MULTI,HEAVY,FINE,4,CARS TRUCKS
RAD,OSF,SSW,DRY,DAY,SINGLE,MODERATE,FINE,1,ROA
BSP,MIR,SSW,DRY,DAY,MULTI,HEAVY,FINE,4,EMP
BSP,WSRE,BTMO,WET,NIGHT,SINGLE,LIGHT,FINE,0,EMP
BSP,FRNT,N2T,DRY,DAY,BUS,LIGHT,FINE,4,CARS TRUCKS
RAD,NSR,SSW,DRY,DAY,MULTI,HEAVY,FINE,4,EMP
RAD,OSR,N2T,DRY,DAY,SINGLE,LIGHT,FINE,5,ROA
RAD,NSR,SSW,DRY,DAY,MULTI,MODERATE,FINE,5,CARS TRUCKS
RAD,OSF,SSW,DRY,NIGHT,MULTI,MODERATE,FINE,1,ROA
RAD,OSM,BTMO,DRY,DAY,SINGLE,NO,FINE,4,EMP
BSP,OSR,N2T,DRY,DAY,SINGLE,LIGHT,FINE,1,EMP
RAD,NSF,SSW,DRY,DAY,SINGLE,HEAVY,FINE,1,ROA
RAD,NSR,TAI,DRY,DAY,SINGLE,HEAVY,FINE,4,CARS TRUCKS
BSP,OSF,SSW,WET,DAY,MULTI,LIGHT,RAIN,1,CARS TRUCKS
BSP,MIR,SSW,DRY,DAY,MULTI,LIGHT,FINE,4,EMP
RAD,OSM,SSW,DRY,NIGHT,MULTI,LIGHT,FINE,4,EMP
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,BUS - OTHER
RAD,MIR,SSW,DRY,DAY,MULTI,HEAVY,FINE,1,ROA
BSP,NSR,N2T,DRY,DAY,MULTI,LIGHT,FINE,4,CARS TRUCKS
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,3,EMP
RAD,NSR,SSW,DRY,DAY,MULTI,HEAVY,FINE,1,EMP
RAD,MIR,SSW,DRY,DAY,MULTI,LIGHT,FINE,4,CARS TRUCKS
RAD,OSR,N2T,WET,DAY,SINGLE,LIGHT,RAIN,1,CARS TRUCKS
BSP,NSR,SSW,WET,DAY,SINGLE,LIGHT,RAIN,4,EMP
RAD,FRNT,HON,WET,STREET,SINGLE,LIGHT,RAIN,4,ENV
BSP,OSF,BTMO,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,REAR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,0,CARS TRUCKS
RAD,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,0,CARS TRUCKS
RAD,MIR,SSW,DRY,DAY,MULTI,MODERATE,FINE,4,CARS TRUCKS
RAD,REAR,REVERSING,DRY,DAY,MULTI,MODERATE,FINE,4,EMP
BSP,REAR,HON,DRY,DAY,MULTI,MODERATE,FINE,1,ROA
